,ID,Plasmid,Gene/Insert,Vector Type,Publication
,189871,p663-UBC-miniTurbo-V5-NEK1_IDG-K,NEK1 (NEK1 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189872,p663-UBC-miniTurbo-V5-NEK6_IDG-K,NEK6 (NEK6 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189874,p663-UBC-miniTurbo-V5-NEK10_IDG-K,NEK10 (NEK10 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189875,p663-UBC-miniTurbo-V5-NEK4_IDG-K,NEK4 (NEK4 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189876,p663-UBC-miniTurbo-V5-NEK5_IDG-K,NEK5 (NEK5 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189877,p663-UBC-miniTurbo-V5-NEK8_IDG-K,NEK8 (NEK8 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189878,p663-UBC-miniTurbo-V5-STK17B_IDG-K,STK17B (STK17B Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189879,p663-UBC-miniTurbo-V5-STK3_IDG-K,STK3 (STK3 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189880,p663-UBC-miniTurbo-V5-STK31_IDG-K,STK31 (STK31 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189881,p663-UBC-miniTurbo-V5-TTBK2_IDG-K,TTBK2 (TTBK2 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189882,p667-UBC-NEK7-V5-miniTurbo_IDG-K,NEK7 (NEK7 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189883,p663-UBC-miniTurbo-V5-CDK20_IDG-K,CDK20 (CDK20 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189884,p663-UBC-miniTurbo-V5-MARK4_IDG-K,MARK4 (MARK4 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189885,p667-UBC-COQ8A-V5-miniTurbo_IDG-K,COQ8A (COQ8A Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189886,p667-UBC-HIPK1-V5-miniTurbo_IDG-K,HIPK1 (HIPK1 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189887,p667-UBC-TAOK1-V5-miniTurbo_IDG-K,TAOK1 (TAOK1 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189888,p667-UBC-TAOK2-V5-miniTurbo_IDG-K,TAOK2 (TAOK2 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189889,p667-UBC-AKT1-V5-miniTurbo_IDG-K,AKT1 (AKT1 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189890,p663-UBC-miniTurbo-V5-AKT1_IDG-K,AKT1 (AKT1 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189891,p663-UBC-miniTurbo-V5-DCLK3_IDG-K,DCLK3 (DCLK3 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189892,p663-UBC-miniTurbo-V5-NIM1K_IDG-K,NIM1K (NIM1 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189893,p663-UBC-miniTurbo-V5-POMK_IDG-K,POMK (POMK Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189894,p663-UBC-miniTurbo-V5-TSSK2_IDG-K,TSSK2 (TSSK2 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189895,p663-UBC-miniTurbo-V5-WEE2_IDG-K,WEE2 (WEE2 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189896,p663-UBC-miniTurbo-V5-PAK5_IDG-K,PAK5 (PAK5 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189897,p667-UBC-PNCK-V5-miniTurbo_IDG-K,PNCK (PNCK Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189898,p667-UBC-PXK-V5-miniTurbo_IDG-K,PXK (PXK Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189899,p667-UBC-SBK2-V5-miniTurbo_IDG-K,SBK2 (SBK2 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189900,p667-UBC-SBK3-V5-miniTurbo_IDG-K,SBK3 (SBK3 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189901,p667-UBC-TSSK4-V5-miniTurbo_IDG-K,TSSK4 (TSSK4 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189902,p667-UBC-VRK3-V5-miniTurbo_IDG-K,VRK3 (VRK3 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189903,p667-UBC-MAP3K14-V5-miniTurbo_IDG-K,MAP3K14 (MAP3K14 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189904,p667-UBC-SRPK3-V5-miniTurbo_IDG-K,SRPK3 (SRPK3 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189905,p663-UBC-miniTurbo-V5-ERN2_IDG-K,ERN2 (ERN2 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189906,p663-UBC-miniTurbo-V5-MAPK4_IDG-K,MAPK4 (MAPK4 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189907,p667-UBC-CDC42BPA-V5-miniTurbo_IDG-K,CDC42BPA (CDC42BPA Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189908,p667-UBC-ADCK2-V5-miniTurbo_IDG-K,ADCK2 (ADCK2 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189909,p667-UBC-ADCK5-V5-miniTurbo_IDG-K,ADCK5 (ADCK5 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189910,p667-UBC-NUAK2-V5-miniTurbo_IDG-K,NUAK2 (NUAK2 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189911,p667-UBC-SCYL1-V5-miniTurbo_IDG-K,SCYL1 (SCYL1 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189912,p667-UBC-SCYL2-V5-miniTurbo_IDG-K,SCYL2 (SCYL2 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189913,p667-UBC-CLK4-V5-miniTurbo_IDG-K,CLK4 (CLK4 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189915,p667-UBC-COQ8B-V5-miniTurbo_IDG-K,COQ8B (ADCK4 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,189916,p667-UBC-STKLD1-V5-miniTurbo_IDG-K,STKLD1 (C9orf96 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
