Gene Accession	Gene Symbol	Human gene	Family	Availability	pigmentation phenotype	normal phenotype	nervous system phenotype	renal/urinary system phenotype	muscle phenotype	liver/biliary system phenotype	limbs/digits/tail phenotype	adipose tissue phenotype	homeostasis/metabolism phenotype	hearing/vestibular/ear phenotype	growth/size/body region phenotype	endocrine/exocrine gland phenotype	embryo phenotype	digestive/alimentary phenotype	craniofacial phenotype	cellular phenotype	cardiovascular system phenotype	behavior/neurological phenotype	immune system phenotype	respiratory system phenotype	reproductive system phenotype	skeleton phenotype	vision/eye phenotype	taste/olfaction phenotype	hematopoietic system phenotype	mortality/aging	integument phenotype
MGI:95712	Gpr83	GPR83	GPCR	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1934129	Gpr84	GPR84	GPCR	ES Cells|Mice tm1|Mice tm1.1|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call
MGI:1927851	Gpr85	GPR85	GPCR	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1934133	Gpr87	GPR87	GPCR	ES Cells|Mice tm1|Mice tm1.1|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	No data	No data	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	No data	No data	Data analysed, no significant call	No data
MGI:1927653	Gpr88	GPR88	GPCR	ES Cells|Mice tm1	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1891250	Gprc5a	GPRC5A	GPCR	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1927596	Gprc5b	GPRC5B	GPCR	ES Cells|Mice tm1e|Mice tm1a|Mice tm1b|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Deviance Significant	Deviance Significant	No data	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call	No data	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call
MGI:1917605	Gprc5c	GPRC5C	GPCR		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1935037	Gprc5d	GPRC5D	GPCR	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Could not analyse	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Could not analyse	Data analysed, no significant call	Data analysed, no significant call
MGI:2441671	Hcar1	HCAR1	GPCR	ES Cells|Mice em1	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1933383	Hcar2	HCAR2, HCAR3	GPCR	Mice em1	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:96283	Htr5a	HTR5A	GPCR		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1914418	Lpar6	LPAR6	GPCR	ES Cells|Mice tm1|Mice tm1.1|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call
MGI:96918	Mas1	MAS1	GPCR	ES Cells|Mice tm1|Mice tm1.1|phenotype data available	Data analysed, no significant call	Deviance Significant	Could not analyse	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call
MGI:3033148	Mrgpra9	MRGPRX3	GPCR		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:3033115	Mrgprb1	MRGPRX2	GPCR		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2441674	Mrgprb2	MRGPRX1	GPCR	Mice em1|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call
MGI:2441884	Mrgpre	MRGPRE	GPCR	ES Cells|Mice tm1.1|Mice tm1|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call
MGI:2384823	Mrgprf	MRGPRF	GPCR		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:3033145	Mrgprg	MRGPRG	GPCR	ES Cells|Mice em1	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1934134	Mrgprh	No Human Symbol	GPCR	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:3033139	Mrgprx1	MRGPRX4	GPCR	Mice em1|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call
MGI:102967	Mtnr1a	MTNR1A	GPCR	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2181726	Mtnr1b	MTNR1B	GPCR	ES Cells|Mice tm1|Mice tm1.1|phenotype data available	Data analysed, no significant call	Deviance Significant	Could not analyse	No data	No data	No data	Data analysed, no significant call	No data	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call
MGI:891989	Npbwr1	NPBWR1	GPCR	Mice em2|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Could not analyse	Data analysed, no significant call	Data analysed, no significant call	Could not analyse	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Could not analyse	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Data analysed, no significant call
MGI:108418	Npy2r	NPY2R	GPCR		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:108082	Npy5r	NPY5R	GPCR		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2685145	Oxgr1	OXGR1	GPCR	ES Cells|Mice tm1.1|Mice tm1|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call
MGI:1926076	P2ry10	P2RY10	GPCR		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2178445	Ppan	PPAN	GPCR	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1929676	Prokr1	PROKR1	GPCR	ES Cells|Mice tm1|Mice tm1.1|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	Deviance Significant	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Deviance Significant	Could not analyse	No data	Data analysed, no significant call	Data analysed, no significant call	Could not analyse	No data	Could not analyse	Data analysed, no significant call	Data analysed, no significant call
MGI:2677633	Qrfpr	QRFPR	GPCR	ES Cells|Mice tm1b|Mice tm1a|phenotype data available	Could not analyse	Deviance Significant	Could not analyse	No data	Could not analyse	No data	Could not analyse	Could not analyse	Could not analyse	Could not analyse	Could not analyse	No data	No data	No data	Could not analyse	No data	Could not analyse	Could not analyse	Could not analyse	Could not analyse	Data analysed, no significant call	Could not analyse	Could not analyse	No data	Could not analyse	Data analysed, no significant call	Data analysed, no significant call
MGI:2441827	Rxfp3	RXFP3	GPCR	Mice em1|Mice em1|phenotype data available	Could not analyse	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Could not analyse	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Could not analyse
MGI:2182926	Rxfp4	RXFP4	GPCR	ES Cells|Mice tm1|Mice tm1.1|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	No data	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call
MGI:1934135	Sucnr1	SUCNR1	GPCR	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2685071	Taar2	TAAR2	GPCR	ES Cells|Mice tm1.1|Mice tm1|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call
MGI:3527427	Taar3	TAAR3P	GPCR		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2685076	Taar8a	TAAR8	GPCR		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:3527454	Taar9	TAAR9	GPCR	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2681210	Tas2r108	TAS2R4	GPCR		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2681218	Tas2r114	TAS2R10	GPCR		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2681247	Tas2r118	TAS2R16	GPCR		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2681253	Tas2r119	TAS2R1	GPCR	Mice em1|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Could not analyse	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call
MGI:2681256	Tas2r120	TAS2R46	GPCR		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2681259	Tas2r121	TAS2R13	GPCR		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2681273	Tas2r126	TAS2R41	GPCR		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2681278	Tas2r130	TAS2R7	GPCR		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2681280	Tas2r131	TAS2R42	GPCR	Mice em1|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Deviance Significant	Data analysed, no significant call	Deviance Significant
MGI:2681302	Tas2r135	TAS2R60	GPCR		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2681304	Tas2r136	TAS2R31	GPCR		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:3606604	Tas2r137	TAS2R3	GPCR		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2681308	Tas2r139	TAS2R39	GPCR	Mice em1|phenotype data available	Data analysed, no significant call	Deviance Significant	No data	No data	No data	No data	Could not analyse	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	No data	Deviance Significant	Data analysed, no significant call	No data	No data	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call
MGI:2681298	Tas2r140	TAS2R14	GPCR		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2681312	Tas2r144	TAS2R40	GPCR		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1345190	Tpra1	TPRA1	GPCR	ES Cells|Mice tm1	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2652846	Asic4	ASIC4	Ion Channel	ES Cells|Mice tm1a|Mice tm1b|Mice em2|phenotype data available	Data analysed, no significant call	Deviance Significant	Deviance Significant	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Deviance Significant	Deviance Significant	No data	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call	No data	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call
MGI:1929813	Cacna2d2	CACNA2D2	Ion Channel	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1338890	Cacna2d3	CACNA2D3	Ion Channel	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	Could not analyse	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call
MGI:2442632	Cacna2d4	CACNA2D4	Ion Channel	ES Cells|Mice em1	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:102522	Cacnb1	CACNB1	Ion Channel	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:894644	Cacnb2	CACNB2	Ion Channel	ES Cells|Mice tm1|Mice tm1.1|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Data analysed, no significant call
MGI:103307	Cacnb3	CACNB3	Ion Channel	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:103301	Cacnb4	CACNB4	Ion Channel	ES Cells|Mice tm1a|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Could not analyse	Data analysed, no significant call	Could not analyse	Data analysed, no significant call	Could not analyse	No data	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Could not analyse	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Data analysed, no significant call
MGI:1206582	Cacng1	CACNG1	Ion Channel	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1859165	Cacng3	CACNG3	Ion Channel		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1859167	Cacng4	CACNG4	Ion Channel	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2157946	Cacng5	CACNG5	Ion Channel		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1859168	Cacng6	CACNG6	Ion Channel	ES Cells|Mice em1	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1932374	Cacng7	CACNG7	Ion Channel	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1932376	Cacng8	CACNG8	Ion Channel		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2685489	Calhm4	CALHM4	Ion Channel		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2143897	Calhm5	CALHM5	Ion Channel	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2387404	Catsper2	CATSPER2	Ion Channel	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:3609260	Chrna10	CHRNA10	Ion Channel	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:87886	Chrna2	CHRNA2	Ion Channel		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:87890	Chrnb1	CHRNB1	Ion Channel	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:87893	Chrnd	CHRND	Ion Channel	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2139758	Clca2	CLCA2	Ion Channel	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2139790	Clca4b	CLCA4	Ion Channel	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2385186	Clcc1	CLCC1	Ion Channel	ES Cells|Mice tm1b|Mice tm1a|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	Deviance Significant	No data	Deviance Significant	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Deviance Significant	Data analysed, no significant call
MGI:1347049	Clcn6	CLCN6	Ion Channel		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1930643	Clcnkb	CLCNKB, CLCNKA	Ion Channel	ES Cells|Mice em1	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1916704	Clic3	CLIC3	Ion Channel	ES Cells|Mice em1|phenotype data available	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1917912	Clic5	CLIC5	Ion Channel	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	Data analysed, no significant call	Deviance Significant	Deviance Significant	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Could not analyse	No data	Data analysed, no significant call	Deviance Significant	No data	No data	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call
MGI:2146607	Clic6	CLIC6	Ion Channel	ES Cells|Mice tm1a	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2664099	Cnga4	CNGA4	Ion Channel	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2443082	Fam26f	CALHM6	Ion Channel	ES Cells|Mice tm2a|Mice tm2b|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call
